x,y,left_bound,right_bound
-0.000448,0.45,2,2
0.106119,0.45,2,2
0.229695,0.45,2,2
0.374454,0.45,2,2
0.522455,0.45,2,2
0.669883,0.45,2,2
0.770086,0.45,2,2
0.916587,0.45,2,2
1.062991,0.45,2,2
1.165048,0.45,2,2
1.279276,0.45,2,2
1.380232,0.45,2,2
1.481997,0.45,2,2
1.589093,0.45,2,2
1.689655,0.45,2,2
1.838005,0.45,2,2
1.938336,0.45,2,2
2.087836,0.45,2,2
2.189007,0.45,2,2
2.331813,0.45,2,2
2.472299,0.45,2,2
2.608307,0.45,2,2
2.7109,0.45,2,2
2.821612,0.45,2,2
2.971804,0.45,2,2
3.120731,0.45,2,2
3.269141,0.45,2,2
3.370086,0.45,2,2
3.473631,0.45,2,2
3.618665,0.45,2,2
3.721943,0.45,2,2
3.869331,0.45,2,2
4.015366,0.45,2,2
4.167192,0.45,2,2
4.316508,0.45,2,2
4.471335,0.45,2,2
4.62059,0.45,2,2
4.726129,0.45,2,2
4.867754,0.45,2,2
5.014818,0.45,2,2
5.117887,0.45,2,2
5.269601,0.45,2,2
5.421602,0.45,2,2
5.575407,0.45,2,2
5.72135,0.45,2,2
5.824512,0.45,2,2
5.973532,0.45,2,2
6.073832,0.45,2,2
6.175219,0.45,2,2
6.277949,0.45,2,2
6.42692,0.45,2,2
6.531467,0.45,2,2
6.681319,0.45,2,2
6.782525,0.45,2,2
6.933237,0.45,2,2
7.076742,0.45,2,2
7.179471,0.45,2,2
7.306073,0.45,2,2
7.44841,0.45,2,2
7.549004,0.45,2,2
7.683537,0.45,2,2
7.816943,0.45,2,2
7.922008,0.45,2,2
8.06187,0.45,2,2
8.207507,0.45,2,2
8.309341,0.45,2,2
8.4525,0.45,2,2
8.610136,0.45,2,2
8.748642,0.45,2,2
8.894231,0.45,2,2
9.039945,0.45,2,2
9.143019,0.45,2,2
9.244945,0.45,2,2
9.388075,0.45,2,2
9.488281,0.45,2,2
9.597387,0.45,2,2
9.707078,0.45,2,2
9.812284,0.45,2,2
9.939944,0.45,2,2
10.042872,0.45,2,2
10.148592,0.45,2,2
10.253012,0.45,2,2
10.397299,0.45,2,2
10.551612,0.45,2,2
10.703221,0.45,2,2
10.833204,0.45,2,2
10.95889,0.45,2,2
11.07334,0.45,2,2
11.228875,0.45,2,2
11.330862,0.45,2,2
11.441967,0.45,2,2
11.578761,0.45,2,2
11.711249,0.45,2,2
11.851882,0.45,2,2
11.989373,0.45,2,2
12.131231,0.45,2,2
12.275079,0.45,2,2
12.381412,0.45,2,2
12.487538,0.45,2,2
12.625691,0.45,2,2
12.735122,0.45,2,2
12.889377,0.45,2,2
13.001699,0.45,2,2
13.147357,0.45,2,2
13.254827,0.45,2,2
13.355253,0.45,2,2
13.502001,0.45,2,2
13.637379,0.45,2,2
13.743456,0.45,2,2
13.849496,0.45,2,2
13.998269,0.45,2,2
14.139808,0.45,2,2
14.256791,0.45,2,2
14.3908,0.45,2,2
14.492059,0.45,2,2
14.599359,0.45,2,2
14.702125,0.45,2,2
14.829659,0.45,2,2
14.990624,0.45,2,2
15.099749,0.45,2,2
15.240233,0.45,2,2
15.386264,0.45,2,2
15.498698,0.45,2,2
15.621207,0.45,2,2
15.757938,0.45,2,2
15.887351,0.45,2,2
16.002628,0.45,2,2
16.111244,0.45,2,2
16.260422,0.45,2,2
16.410282,0.45,2,2
16.521185,0.45,2,2
16.677313,0.45,2,2
16.820623,0.45,2,2
16.930689,0.45,2,2
17.075661,0.45,2,2
17.190828,0.45,2,2
17.317699,0.45,2,2
17.419975,0.45,2,2
17.565969,0.45,2,2
17.704533,0.45,2,2
17.811735,0.45,2,2
17.941259,0.45,2,2
18.05847,0.45,2,2
18.196535,0.45,2,2
18.346748,0.45,2,2
18.486717,0.45,2,2
18.604189,0.45,2,2
18.751019,0.45,2,2
18.865171,0.45,2,2
19.01333,0.45,2,2
19.115646,0.45,2,2
19.221048,0.45,2,2
19.371807,0.45,2,2
19.513033,0.45,2,2
19.625221,0.45,2,2
19.762289,0.45,2,2
19.872852,0.45,2,2
19.978437,0.45,2,2
